id,symbol,date,open_price,high_price,low_price,close_price,volume,vwap,num_trades,avg_spread
1,AAPL,2024-01-02,150.0,150.77705665721663,148.27181362435397,149.70164300191882,78253,149.70164300191882,478,0.14970164300191882
2,GOOGL,2024-01-02,2500.0,2512.6370609024307,2449.3024978629096,2462.23,80291,2462.23,517,2.46223
3,AAPL,2024-01-02,150.0,150.43109665789274,147.38308828723734,147.48,90761,147.48,474,0.14748
4,GOOGL,2024-01-02,2500.0,2500.105029010042,2456.360175672603,2467.917196160816,102129,2467.917196160816,509,2.467917196160816
5,AAPL,2024-01-02,150.0,150.23939882403675,148.028728935225,148.77,94444,148.77,511,0.14877
6,GOOGL,2024-01-02,2500.0,2506.338452540345,2444.338159744974,2457.19,90041,2457.19,475,2.45719
7,AAPL,2024-01-02,150.0,150.25222325412662,147.64369513289114,148.77,90403,148.77,512,0.14877
8,GOOGL,2024-01-02,2500.0,2505.9339620323176,2451.358123924334,2457.940611762729,86262,2457.940611762729,494,2.457940611762729
9,AAPL,2024-01-02,150.0,150.162794742352,147.08100422296215,147.66,94028,147.66,541,0.14766
10,GOOGL,2024-01-02,2500.0,2500.1591804472982,2448.622586541418,2466.07,86472,2466.07,509,2.46607
11,AAPL,2024-01-02,150.0,150.54646988295468,146.5547751709829,147.29,86789,147.29,581,0.14729
12,GOOGL,2024-01-02,2500.0,2502.898953254702,2449.3903813938477,2463.18,83147,2463.18,535,2.46318
13,AAPL,2025-08-21,150.0,150.48392423527991,146.97815796635723,147.36,82564,147.36,487,0.14736000000000002
14,GOOGL,2025-08-21,2500.0,2503.9265615219747,2440.867626656678,2451.11,96345,2451.11,536,2.4511100000000003
15,AAPL,2025-08-21,150.0,150.4086550307238,147.85346150461135,148.70540045234299,76954,148.70540045234299,474,0.14870540045234298
16,GOOGL,2025-08-21,2500.0,2513.5378746846595,2448.1291353289903,2461.0405956106674,88701,2461.0405956106674,537,2.4610405956106676
